accession	encodeDAccession	notes
wgEncodeEH000033	ENCSR000AKF	
wgEncodeEH000034	ENCSR000AKG	
wgEncodeEH000035	ENCSR000AKH	
wgEncodeEH000036	ENCSR000AKI	
wgEncodeEH000037	ENCSR000AKJ	
wgEncodeEH000038	ENCSR000AKK	
wgEncodeEH000039	ENCSR000AKL	
wgEncodeEH000040	ENCSR000AKM	
wgEncodeEH000041	ENCSR000AKN	
wgEncodeEH000042	ENCSR000AKO	
wgEncodeEH000043	ENCSR000AKP	
wgEncodeEH000044	ENCSR000AKQ	
wgEncodeEH000045	ENCSR000AKR	
wgEncodeEH000046	ENCSR000AKS	
wgEncodeEH000047	ENCSR000AKT	
wgEncodeEH000048	ENCSR000AKU	
wgEncodeEH000049	ENCSR000AKV	
wgEncodeEH000050	ENCSR000AKW	
wgEncodeEH000051	ENCSR000AKX	
wgEncodeEH000052	ENCSR000AKY	
wgEncodeEH000053	ENCSR000AKZ	
wgEncodeEH000054	ENCSR000ALA	
wgEncodeEH000055	ENCSR000ALB	
wgEncodeEH000056	ENCSR000ALC	
wgEncodeEH000057	ENCSR000ALD	
wgEncodeEH000058	ENCSR000ALE	
wgEncodeEH000059	ENCSR000ALF	
wgEncodeEH000060	ENCSR000ALG	
wgEncodeEH000061	ENCSR000ALH	
wgEncodeEH000062	ENCSR000ALI	
wgEncodeEH000063	ENCSR000ALJ	
wgEncodeEH000064	ENCSR000ALK	
wgEncodeEH000065	ENCSR000ALL	
wgEncodeEH000066	ENCSR000ALM	
wgEncodeEH000067	ENCSR000ALN	
wgEncodeEH000068	ENCSR000ALO	
wgEncodeEH000069	ENCSR000ALP	
wgEncodeEH000070	ENCSR000ALQ	
wgEncodeEH000071	ENCSR000ALR	
wgEncodeEH000072	ENCSR000ALS	
wgEncodeEH000073	ENCSR000ALT	
wgEncodeEH000074	ENCSR000ALU	
wgEncodeEH000075	ENCSR000ALV	
wgEncodeEH000076	ENCSR000ALW	
wgEncodeEH000077	ENCSR000ALX	
wgEncodeEH000078	ENCSR000ALY	
wgEncodeEH000079	ENCSR000ALZ	
wgEncodeEH000080	ENCSR000AMA	
wgEncodeEH000081	ENCSR000AMB	
wgEncodeEH000082	ENCSR000AMC	
wgEncodeEH000083	ENCSR000AMD	
wgEncodeEH000084	ENCSR000AME	
wgEncodeEH000085	ENCSR000AMF	
wgEncodeEH000086	ENCSR000AMG	
wgEncodeEH000087	ENCSR000AMH	
wgEncodeEH000088	ENCSR000AMI	
wgEncodeEH000089	ENCSR000AMJ	
wgEncodeEH000090	ENCSR000AMK	
wgEncodeEH000091	ENCSR000AML	
wgEncodeEH000092	ENCSR000AMM	
wgEncodeEH000093	ENCSR000AMN	
wgEncodeEH000094	ENCSR000AMO	
wgEncodeEH000095	ENCSR000AMP	
wgEncodeEH000096	ENCSR000AMQ	
wgEncodeEH000097	ENCSR000AMR	
wgEncodeEH000098	ENCSR000AMS	
wgEncodeEH000099	ENCSR000AMT	
wgEncodeEH000100	ENCSR000AMU	
wgEncodeEH000101	ENCSR000AMV	
wgEncodeEH000102	ENCSR000AMW	
wgEncodeEH000103	ENCSR000AMX	
wgEncodeEH000104	ENCSR000AMY	
wgEncodeEH000105	ENCSR000AMZ	
wgEncodeEH000106	ENCSR000ANA	
wgEncodeEH000107	ENCSR000ANB	
wgEncodeEH000108	ENCSR000ANC	
wgEncodeEH000109	ENCSR000AND	
wgEncodeEH000110	ENCSR000ANE	
wgEncodeEH000111	ENCSR000ANF	
wgEncodeEH000112	ENCSR000ANG	
wgEncodeEH000113	ENCSR000ANH	
wgEncodeEH000114	ENCSR000ANI	
wgEncodeEH000115	ENCSR000ANJ	
wgEncodeEH000116	ENCSR000ANK	
wgEncodeEH000117	ENCSR000ANL	
wgEncodeEH000118	ENCSR000ANM	
wgEncodeEH000119	ENCSR000ANN	
wgEncodeEH000120	ENCSR000ANO	
wgEncodeEH000122	ENCSR000EYN	
wgEncodeEH000124	ENCSR000EYO	
wgEncodeEH000127	ENCSR000EYR	
wgEncodeEH000128	ENCSR000EYP	
wgEncodeEH000129	ENCSR000EYS	
wgEncodeEH000130	ENCSR000EYQ	
wgEncodeEH000131	ENCSR000EYT	
wgEncodeEH000140	ENCSR000COK	
wgEncodeEH000141	ENCSR000COL	
wgEncodeEH000142	ENCSR000COM	
wgEncodeEH000143	ENCSR000CON	
wgEncodeEH000144	ENCSR000COO	
wgEncodeEH000145	ENCSR000COP	
wgEncodeEH000146	ENCSR000COQ	
wgEncodeEH000147	ENCSR000COR	
wgEncodeEH000148	ENCSR000COS	
wgEncodeEH000149	ENCSR000COT	
wgEncodeEH000150	ENCSR000COU	
wgEncodeEH000151	ENCSR000COV	
wgEncodeEH000152	ENCSR000COW	
wgEncodeEH000153	ENCSR000COX	
wgEncodeEH000154	ENCSR000COY	
wgEncodeEH000155	ENCSR000COZ	
wgEncodeEH000156	ENCSR000CPA	
wgEncodeEH000157	ENCSR000CPB	
wgEncodeEH000158	ENCSR000CPC	
wgEncodeEH000159	ENCSR000CPD	
wgEncodeEH000160	ENCSR000CPE	
wgEncodeEH000161	ENCSR000CPF	
wgEncodeEH000162	ENCSR000CPG	
wgEncodeEH000163	ENCSR000CPH	
wgEncodeEH000164	ENCSR000CPI	
wgEncodeEH000165	ENCSR000CPJ	
wgEncodeEH000166	ENCSR000CPK	
wgEncodeEH000167	ENCSR000CPL	
wgEncodeEH000168	ENCSR000CPM	
wgEncodeEH000169	ENCSR000CPN	
wgEncodeEH000170	ENCSR000CPO	
wgEncodeEH000171	ENCSR000CPP	
wgEncodeEH000172	ENCSR000CPQ	
wgEncodeEH000173	ENCSR000CPR	
wgEncodeEH000174	ENCSR000CPS	
wgEncodeEH000175	ENCSR000CPT	
wgEncodeEH000176	ENCSR000CPU	
wgEncodeEH000177	ENCSR000CPV	
wgEncodeEH000178	ENCSR000CPW	
wgEncodeEH000179	ENCSR000CPX	
wgEncodeEH000180	ENCSR000CPY	
wgEncodeEH000181	ENCSR000CPZ	
wgEncodeEH000182	ENCSR000CQA	
wgEncodeEH000183	ENCSR000CQB	
wgEncodeEH000184	ENCSR000CQC	
wgEncodeEH000185	ENCSR000CQD	
wgEncodeEH000186	ENCSR000CQE	
wgEncodeEH000187	ENCSR000CQF	
wgEncodeEH000188	ENCSR000CQG	
wgEncodeEH000189	ENCSR000CQH	
wgEncodeEH000190	ENCSR000CQI	
wgEncodeEH000191	ENCSR000CQJ	
wgEncodeEH000192	ENCSR000CQK	
wgEncodeEH000193	ENCSR000CQL	
wgEncodeEH000194	ENCSR000CQM	
wgEncodeEH000195	ENCSR000CQN	
wgEncodeEH000196	ENCSR000CQO	
wgEncodeEH000197	ENCSR000CQP	
wgEncodeEH000198	ENCSR000CQQ	
wgEncodeEH000199	ENCSR000CQR	
wgEncodeEH000200	ENCSR000CQS	
wgEncodeEH000201	ENCSR000CQT	
wgEncodeEH000202	ENCSR000CQU	
wgEncodeEH000203	ENCSR000CQV	
wgEncodeEH000204	ENCSR000CQW	
wgEncodeEH000205	ENCSR000CQX	
wgEncodeEH000206	ENCSR000CQY	
wgEncodeEH000207	ENCSR000CQZ	
wgEncodeEH000208	ENCSR000CRA	
wgEncodeEH000209	ENCSR000CRB	
wgEncodeEH000210	ENCSR000CRC	
wgEncodeEH000211	ENCSR000CRD	
wgEncodeEH000212	ENCSR000CRE	
wgEncodeEH000213	ENCSR000CRF	
wgEncodeEH000214	ENCSR000BDF	
wgEncodeEH000215	ENCSR000BDG	
wgEncodeEH000216	ENCSR000BDH	
wgEncodeEH000217	ENCSR000BDI	
wgEncodeEH000218	ENCSR000BDJ	
wgEncodeEH000219	ENCSR000BDK	
wgEncodeEH000220	ENCSR000BDL	
wgEncodeEH000221	ENCSR000BDM	
wgEncodeEH000222	ENCSR000BDN	
wgEncodeEH000223	ENCSR000BDO	
wgEncodeEH000224	ENCSR000BDP	
wgEncodeEH000225	ENCSR000BDQ	
wgEncodeEH000226	ENCSR000BDR	
wgEncodeEH000227	ENCSR000BDS	
wgEncodeEH000228	ENCSR000BDT	
wgEncodeEH000229	ENCSR000BDU	
wgEncodeEH000230	ENCSR000BDV	
wgEncodeEH000233	ENCSR000BDW	
wgEncodeEH000234	ENCSR000BDX	
wgEncodeEH000235	ENCSR000BDY	
wgEncodeEH000236	ENCSR000BDZ	
wgEncodeEH000237	ENCSR000BEA	
wgEncodeEH000238	ENCSR000BEB	
wgEncodeEH000239	ENCSR000BEC	
wgEncodeEH000240	ENCSR000BED	
wgEncodeEH000241	ENCSR000BEE	
wgEncodeEH000242	ENCSR000FAP	
wgEncodeEH000243	ENCSR000FAS	
wgEncodeEH000244	ENCSR000FAR	
wgEncodeEH000245	ENCSR000FAO	
wgEncodeEH000246	ENCSR000FAN	
wgEncodeEH000247	ENCSR000FAQ	
wgEncodeEH000248	ENCSR000BCA	
wgEncodeEH000249	ENCSR000BCB	
wgEncodeEH000250	ENCSR000BCC	
wgEncodeEH000251	ENCSR000BCD	
wgEncodeEH000252	ENCSR000BCE	
wgEncodeEH000253	ENCSR000BCF	
wgEncodeEH000254	ENCSR000BCG	
wgEncodeEH000255	ENCSR000BCH	
wgEncodeEH000256	ENCSR000BCI	
wgEncodeEH000257	ENCSR000BCJ	
wgEncodeEH000258	ENCSR000BCK	
wgEncodeEH000259	ENCSR000BCL	
wgEncodeEH000260	ENCSR000BCM	
wgEncodeEH000261	ENCSR000BCN	
wgEncodeEH000262	ENCSR000BCO	
wgEncodeEH000266	ENCSR000BCP	
wgEncodeEH000267	ENCSR000BCQ	
wgEncodeEH000268	ENCSR000BCR	
wgEncodeEH000269	ENCSR000BZT	
wgEncodeEH000270	ENCSR000BZU	
wgEncodeEH000271	ENCSR000BZV	
wgEncodeEH000273	ENCSR000BBM	
wgEncodeEH000274	ENCSR000BBN	
wgEncodeEH000275	ENCSR000BBO	
wgEncodeEH000279	ENCSR000BXB	
wgEncodeEH000280	ENCSR000BXC	
wgEncodeEH000281	ENCSR000BXD	
wgEncodeEH000282	ENCSR000BXE	
wgEncodeEH000283	ENCSR000BXF	
wgEncodeEH000284	ENCSR000BXG	
